User,Events
3044012,2529072432
4236494,152418051 799782433
5574997,941853303
7547671,1228445722
10329108,40254649
13301498,907302600 3950787980
14411090,1073827062 753115138
15469418,3234409400
16210231,4197279783 821546192
19283444,3789409122
20041353,813808366
23150045,735593165
23170479,813650546 1532377761 2529072432 3632072502 2776357538 1600413013 955398943
24978365,2624370380
26389537,1532377761 1600413013 1044854627
29002074,965748273
33930603,156494494
33966018,2608593001
35629376,2828969498
38974975,2529072432 955398943
38985694,3028393247 297891426
41934198,2367196896
43026617,4203627753
45139176,1488068589
45148230,3459643094
47659843,1269035551
50457238,910169576
51165908,602394192 1294433853 955398943
57075229,2717795664 1820037082
61814256,3731945988
65801702,4135207140 3781958177 2057068023
66260844,2237079226 2980258101
67249956,4125420656
69302861,2800586555
70152834,844299203 1532377761 2529072432
70585535,1566556513
71688472,2841665850 2110243278 3084061084
72298333,952519340
73288922,3413747696
78065188,2913407142
80379054,3850950041
81458678,969179478
82610705,2940654356 2913407142
82923911,1488068589
85640691,4224194427
88554519,2893363609
91139927,2039358442
92410554,714391510
95170590,1690420493 1532377761 2529072432
96542289,3080242563 3841696821 3129233779 1813185314 1893384353 779179812 3418426127 802414638 2321729704 4278185210 2636152679
96931058,2045413792
97374877,3129504825
102981257,2460207561 2892792634
107783241,273094339
110310789,3378415880
111840914,1532377761 2529072432
120053518,3118974631 2529072432
121528378,897667289 130281276 1674888438
121856257,232587843
122826603,210121672 2357122965
123290209,1887085024 939818461
127904873,1600413013
128723876,642644408 3996872922 3275948662 1476388256
132341149,1844176380
135706634,966971643 4125420656
139210489,1485887263
140576550,681905393
143093592,705138890
147852768,3643346333 1128274822 2865762984 747845900
156079457,4181743367
156584666,2114371180
156603823,4244463632
158531231,719337372
160071273,3509100603
166685992,2429379784 1448086840
167200370,2379850649
168764910,2153037761
171842881,3632072502 797638314
174994783,2188393190
178517662,529900443 4267868521
180779799,42193426
183275855,2115491671
184140061,3793452317 3643004825
185422302,2219144892 1989853635
187910813,955398943
193158441,2418142030
193920233,2556887095
194257626,51230207
195973264,3388135408
197344023,3276213471 642644408 955398943
197704997,2427264930
199120737,959243663 2989906553
199379035,2529072432
203050907,1699663431 1610171038 3315486330 2529072432
203456139,2153037761 2746202243
204568422,2363782301
206173756,11608112
210296799,213754032 899234866
210626346,3028859957
217443195,311120320
220184636,1421267283
221442949,1033318499 2529072432 264366149 986099040 955398943
223870698,1488068589
236194065,1205670273
238446352,2764233627
240018991,2073609284
240521211,3123265999 990256291
242262473,2130616732
243893094,386229329 445012721
244644122,152418051
